,sex,age,l,m,s,p5,p25,p50,p75,p95
1959,2,102,0.0233,6.0622,0.12529,4.930757802425234,5.570487892360017,6.0622,6.596218320102072,7.445898012027108
1960,2,103,0.0218,6.0817,0.12522,4.947349065766844,5.588700579827508,6.0817,6.61715956839691,7.469229154097267
1961,2,104,0.0203,6.101,0.12514,4.963863969711438,5.606769182510837,6.101,6.637836686806779,7.492187607382766
1962,2,105,0.0188,6.1202,0.12507,4.980220075880219,5.624709926937229,6.1202,6.658447743116949,7.515141257290882
1963,2,106,0.0173,6.1393,0.125,4.996499090147771,5.6425605629977955,6.1393,6.678948200546387,7.53796782322675
1964,2,107,0.0158,6.1582,0.12493,5.01261957659599,5.660229162024639,6.1582,6.6992292867006675,7.560544560373861
1965,2,108,0.0144,6.1771,0.12486,5.028733632500549,5.6778975148412485,6.1771,6.719506211214021,7.583101120198905
1966,2,109,0.0129,6.1958,0.12479,5.044699689723388,5.695385804191469,6.1958,6.739566174038277,7.605423820540525
1967,2,110,0.0114,6.2143,0.12472,5.060507044538498,5.712691987536609,6.2143,6.759406827831467,7.627496825603275
1968,2,111,0.01,6.2328,0.12466,5.076224145593684,5.7299591933672405,6.2328,6.779289027634809,7.649675187671945
1969,2,112,0.0086,6.2511,0.12459,5.091865845566401,5.747082816389009,6.2511,6.798906395143362,7.671478688248597
1970,2,113,0.0071,6.2693,0.12453,5.107356708755857,5.764079334120672,6.2693,6.8184616293538625,7.69329773197372
1971,2,114,0.0057,6.2874,0.12447,5.122758917724433,5.780983348156687,6.2874,6.837904252712285,7.714974594549614
1972,2,115,0.0043,6.3054,0.12441,5.138083156481487,5.797796876798202,6.3054,6.857236674733075,7.736525370346143
1973,2,116,0.0029,6.3232,0.12435,5.153247894338271,5.8144279532765335,6.3232,6.8763501586520706,7.757827393942618
1974,2,117,0.0015,6.341,0.12429,5.16841608260508,5.831060468304387,6.341,6.895462215414923,7.779126073402151
1975,2,118,0.0001,6.3586,0.12423,5.183424682754003,5.847510497065477,6.3586,6.914355364189623,7.800176063579901
1976,2,119,-0.0013,6.3761,0.12417,5.198355159140043,5.863869980578117,6.3761,6.933138364120658,7.821100075777131
1977,2,120,-0.0026,6.3935,0.12412,5.213110920413961,5.880097194172282,6.3935,6.9518556895525805,7.842010838030793
1978,2,121,-0.004,6.4108,0.12406,5.2278848155347655,5.896275440809164,6.4108,6.970418551634859,7.862683307088674
1979,2,122,-0.0053,6.428,0.12401,5.2424834617138245,5.912321177186776,6.428,6.9889160122565155,7.883343253345604
1980,2,123,-0.0067,6.445,0.12395,5.2570190824692515,5.928226156443881,6.445,7.007150056412537,7.903641633181759
1981,2,124,-0.008,6.462,0.1239,5.271460485500286,5.9440903660779405,6.462,7.025427694928639,7.924050850079337
1982,2,125,-0.0094,6.4788,0.12385,5.285752466661191,5.959773832545746,6.4788,7.043489241353782,7.944228803562412
1983,2,126,-0.0107,6.4956,0.1238,5.300036296015456,5.97545636812549,6.4956,7.0615472243909325,7.964387738117752
1984,2,127,-0.012,6.5122,0.12375,5.314159689050794,5.990956054545779,6.5122,7.079386679958313,7.98429893306051
1985,2,128,-0.0133,6.5288,0.1237,5.328285815098158,6.006456869252777,6.5288,7.097225039669429,8.0042076241814
1986,2,129,-0.0146,6.5452,0.12365,5.342251430957368,6.021774806155607,6.5452,7.114844896736279,8.023868626311707
1987,2,130,-0.0159,6.5615,0.1236,5.356138111757774,6.037001850339731,6.5615,7.132354970003522,8.043404563255244
1988,2,131,-0.0172,6.5777,0.12355,5.369945829511082,6.052137991008859,6.5777,7.149755268717988,8.062815453591703
1989,2,132,-0.0185,6.5939,0.12351,5.383667981154264,6.067234370783861,6.5939,7.167202912340358,8.082357330508309
1990,2,133,-0.0198,6.6099,0.12346,5.397317497249636,6.082188579253704,6.6099,7.184383807819384,8.101518528254573
1991,2,134,-0.021,6.6258,0.12342,5.410788260666717,6.097008693092463,6.6258,7.2015011133979066,8.120672050941202
1992,2,135,-0.0223,6.6416,0.12337,5.424279445293612,6.11178092213694,6.6416,7.218462638758893,8.13958359843527
1993,2,136,-0.0235,6.6573,0.12333,5.437591397498038,6.1264188396511114,6.6573,7.235360822190623,8.1584881344495
1994,2,137,-0.0248,6.6729,0.12329,5.450834935154078,6.140967713741954,6.6729,7.2521520277413645,8.177285283127583
1995,2,138,-0.026,6.6884,0.12325,5.4639877836500785,6.1554233039807675,6.6884,7.268831238320281,8.195941235737825
1996,2,139,-0.0273,6.7039,0.12321,5.477153903882758,6.169881874041752,6.7039,7.28551217015065,8.214612429751892
1997,2,140,-0.0285,6.7192,0.12317,5.490147562960272,6.184155104659976,6.7192,7.301972434220272,8.233019848345497
1998,2,141,-0.0297,6.7344,0.12313,5.503061581082978,6.198337139238476,6.7344,7.3183232349226754,8.251303006801026
1999,2,142,-0.0309,6.7495,0.12309,5.51589593524171,6.212427969023634,6.7495,7.334564579518305,8.269461919068105
2000,2,143,-0.0321,6.7646,0.12305,5.528732332810161,6.226519630908605,6.7646,7.350805141047374,8.287619113661048
2001,2,144,-0.0333,6.7795,0.12301,5.541407297413897,6.240428027713291,6.7795,7.366827592733404,8.30552957038945
2002,2,145,-0.0345,6.7944,0.12298,5.55399355145316,6.254295180485546,6.7944,7.382899210547329,8.323576198916841
2003,2,146,-0.0357,6.8091,0.12294,5.5665088519234,6.268021021155866,6.8091,7.398702910246441,8.341238582106264
2004,2,147,-0.0369,6.8238,0.12291,5.578935046769941,6.281705429989209,6.8238,7.414556009714183,8.359037809594723
2005,2,148,-0.0381,6.8384,0.12287,5.591372361235344,6.295340740759778,6.8384,7.430249638436855,8.376574660878738
2006,2,149,-0.0393,6.8529,0.12284,5.603638422239922,6.308842377969263,6.8529,7.445884241143715,8.394126525102985
2007,2,150,-0.0404,6.8673,0.12281,5.615812963410152,6.322250415814439,6.8673,7.4614070879592465,8.411537533719452
2008,2,151,-0.0416,6.8816,0.12277,5.628010419713461,6.335611749142274,6.8816,7.476772717640917,8.428702548103583
2009,2,152,-0.0428,6.8959,0.12274,5.6401178162419905,6.348931195527937,6.8959,7.49218831596478,8.446006049810102
2010,2,153,-0.0439,6.91,0.12271,5.652051808090084,6.362064946228988,6.91,7.507383513152781,8.463046147171791
2011,2,154,-0.045,6.9241,0.12268,5.66398730964883,6.375199295343417,6.9241,7.522578181910273,8.480085183755527
2012,2,155,-0.0462,6.9381,0.12265,5.675853921695323,6.388244342796325,6.9381,7.537666272925244,8.497018198229913
2013,2,156,-0.0473,6.952,0.12262,5.687628824229995,6.401195735234279,6.952,7.5526426107842966,8.51381021470151
2014,2,157,-0.0484,6.9659,0.12259,5.699405211190151,6.4141477169098655,6.9659,7.567618426999766,8.53060118135066
2015,2,158,-0.0496,6.9797,0.12256,5.711112709539047,6.4270103902983555,6.9797,7.582487690172426,8.547286240386066
2016,2,159,-0.0507,6.9934,0.12254,5.722635233808817,6.439736129356675,6.9934,7.597296658127466,8.563972545726257
2017,2,160,-0.0518,7.007,0.12251,5.73417039108338,6.452413535603463,7.007,7.611945123963854,8.5803933462119
2018,2,161,-0.0529,7.0205,0.12248,5.745625154669329,6.464999429964577,7.0205,7.626484446792145,8.596690662637892
2019,2,162,-0.054,7.034,0.12246,5.756987677104894,6.477542398867693,7.034,7.641075030712559,8.613130182260944
2020,2,163,-0.0551,7.0474,0.12243,5.768363292501703,6.490037263353201,7.0474,7.655504812014796,8.629303300294694
2021,2,164,-0.0562,7.0607,0.12241,5.7795644706004765,6.502396945249832,7.0607,7.669877435310388,8.645496785523525
2022,2,165,-0.0573,7.074,0.12238,5.790860897528483,6.514800765279049,7.074,7.684197685755691,8.661545721895283
2023,2,166,-0.0583,7.0872,0.12236,5.801970970826458,6.52706702782292,7.0872,7.698458348777595,8.677597779554862
2024,2,167,-0.0594,7.1003,0.12234,5.8130118032840565,6.539243797900329,7.1003,7.712612727161597,8.693544806095694
2025,2,168,-0.0605,7.1133,0.12231,5.824066471147422,6.551372833893418,7.1133,7.72660581284431,8.709223962958436
2026,2,169,-0.0615,7.1263,0.12229,5.835016095506779,6.56345615428381,7.1263,7.740648233047403,8.725029488487534
2027,2,170,-0.0626,7.1393,0.12227,5.845978372864916,6.575542082840821,7.1393,7.7546930088051,8.74085251890097
2028,2,171,-0.0637,7.1521,0.12225,5.856777927202463,6.587444194808226,7.1521,7.768520255735435,8.75643027591243
2029,2,172,-0.0647,7.1649,0.12223,5.867566862209324,6.599344466996192,7.1649,7.78234455177475,8.77198958648539
2030,2,173,-0.0658,7.1776,0.12221,5.878286577235298,6.611155241869139,7.1776,7.796062603501569,8.787444072171104
