,sex,age,l,m,s,p5,p25,p50,p75,p95
155,1,155,0.1382,7.5528,0.11065,6.281364507642041,7.006921959888643,7.5528,8.13494017788167,9.04009909823585
156,1,156,0.1377,7.5677,0.11059,6.294447302056315,7.021042056602898,7.5677,8.150673302783103,9.057133725884363
157,1,157,0.1372,7.5824,0.11054,6.307259990188525,7.0349298104700715,7.5824,8.166244296923448,9.074071397728583
158,1,158,0.1368,7.5971,0.11049,6.320064099305818,7.048816537047716,7.5971,8.181812023475105,9.090991916998538
159,1,159,0.1363,7.6117,0.11044,6.3327980067409815,7.062613416647311,7.6117,8.197273269989786,9.107804671240714
160,1,160,0.1358,7.6262,0.1104,6.345343895191578,7.0762702405973315,7.6262,8.212680646586657,9.124641646211069
161,1,161,0.1354,7.6406,0.11035,6.3579047369016655,7.089881350604149,7.6406,8.227922340847435,9.141195622041673
162,1,162,0.1349,7.655,0.11031,6.370371148300028,7.103446988379468,7.655,8.243220323050393,9.157908622526461
163,1,163,0.1344,7.6692,0.11026,6.38278048634987,7.116876274100751,7.6692,8.25824699527729,9.174233047597312
164,1,164,0.134,7.6834,0.11022,6.395073292675765,7.130255910280959,7.6834,8.273325671940398,9.190687895610083
165,1,165,0.1335,7.6975,0.11018,6.407295449151865,7.143545482815239,7.6975,8.288298140626377,9.207035759829607
166,1,166,0.1331,7.7115,0.11013,6.4195334060873455,7.156789741609557,7.7115,8.303104439088704,9.223099251718828
167,1,167,0.1326,7.7255,0.11009,6.431675942970041,7.169988068064508,7.7255,8.31796757468752,9.23932329212609
168,1,168,0.1322,7.7394,0.11005,6.443726032742091,7.183092311873907,7.7394,8.332720002530388,9.255411093847819
169,1,169,0.1317,7.7532,0.11002,6.455596673019233,7.196057457138073,7.7532,8.347422017438285,9.271540997540638
170,1,170,0.1313,7.7669,0.10998,6.4674833933775675,7.208977429126495,7.7669,8.361957677560095,9.287385984116538
171,1,171,0.1308,7.7805,0.10994,6.479299429850797,7.22180730757509,7.7805,8.376387188268966,9.303124194395124
172,1,172,0.1304,7.7941,0.10991,6.490996835805542,7.234586612476099,7.7941,8.390869722627047,9.31899549213929
173,1,173,0.1299,7.8076,0.10987,6.502732713136052,7.24732500547673,7.8076,8.405190167608234,9.334610585206088
174,1,174,0.1295,7.821,0.10984,6.5142662587231035,7.259919819713164,7.821,8.419456180339926,9.350239721431995
175,1,175,0.129,7.8344,0.1098,6.525921934992391,7.27256670982461,7.8344,8.433667577152434,9.3657317398373
176,1,176,0.1286,7.8477,0.10977,6.537374863939212,7.2850698392724045,7.8477,8.447824740458051,9.381238316812821
177,1,177,0.1282,7.8609,0.10974,6.548745719653291,7.297480661727998,7.8609,8.461873708747403,9.396623980531503
178,1,178,0.1277,7.8741,0.10971,6.560128818759145,7.309894032652597,7.8741,8.47592442282937,9.412023142877663
179,1,179,0.1273,7.8871,0.10968,6.571335501029814,7.322120227237858,7.8871,8.489757019903728,9.427167036844708
180,1,180,0.1269,7.9002,0.10965,6.582626711118738,7.3344397740443235,7.9002,8.503696718217721,9.442429104606509
181,1,181,0.1264,7.9131,0.10962,6.593763535032687,7.346576190464936,7.9131,8.517422900140302,9.457465699828047
182,1,182,0.126,7.926,0.10959,6.604890513089447,7.358711085153202,7.926,8.53114625144383,9.472486056068998
183,1,183,0.1256,7.9389,0.10957,6.615907343495507,7.370796308109458,7.9389,8.54492617338964,9.487657676709805
184,1,184,0.1251,7.9516,0.10954,6.6268809425020585,7.382748488784688,7.9516,8.558435594885033,9.502451574735758
185,1,185,0.1247,7.9643,0.10951,6.637844640301528,7.394699132841023,7.9643,8.571942185751913,9.517229198789469
186,1,186,0.1243,7.977,0.10949,6.648697647793088,7.406599858564442,7.977,8.585505632364871,9.53215886004993
187,1,187,0.1239,7.9895,0.10946,6.659496815806948,7.418365722796495,7.9895,8.598796011463726,9.546695114812424
188,1,188,0.1235,8.0021,0.10944,6.6702682868292555,7.430174356834817,8.0021,8.612251060947305,9.561503407279554
189,1,189,0.123,8.0145,0.10942,6.680885005973742,7.4417996734831355,8.0145,8.625492845606386,9.576086982009747
190,1,190,0.1226,8.0269,0.1094,6.691491395255764,7.453423274954279,8.0269,8.63873197879581,9.590654712907224
191,1,191,0.1222,8.0392,0.10937,6.702127940969978,7.465005161994612,8.0392,8.651805323300097,9.604947575509849
192,1,192,0.1218,8.0515,0.10935,6.712652736613331,7.476536648544885,8.0515,8.664936081845775,9.619393990205511
193,1,193,0.1214,8.0637,0.10933,6.72309495630962,7.487975605962397,8.0637,8.67795889202942,9.633720140616866
194,1,194,0.121,8.0759,0.10931,6.733537968042308,7.499414891789183,8.0759,8.690981374055896,9.648045503011694
195,1,195,0.1206,8.0879,0.10929,6.743815008633295,7.510668779950338,8.0879,8.70378829803341,9.662131149190838
196,1,196,0.1201,8.1,0.10927,6.754187443778001,7.5220179227187245,8.1,8.716704852454855,9.676350670289361
197,1,197,0.1197,8.112,0.10925,6.764466056188845,7.533272460283144,8.112,8.729511131945337,9.690434779449722
198,1,198,0.1193,8.1239,0.10924,6.774548181754626,7.544383116049873,8.1239,8.742267929213849,9.704554932120958
199,1,199,0.1189,8.1357,0.10922,6.784661395621417,7.555452487206953,8.1357,8.75485843074034,9.71839882270931
200,1,200,0.1185,8.1475,0.1092,6.794775373995805,7.566522175724785,8.1475,8.767448614564351,9.732241949220429
201,1,201,0.1181,8.1593,0.10919,6.804775761762139,7.577540623252871,8.1593,8.780097190698582,9.746241292075739
202,1,202,0.1177,8.171,0.10917,6.814807705326977,7.588518001377351,8.171,8.792579217907805,9.759963678243432
203,1,203,0.1173,8.1826,0.10915,6.8247570006469855,7.599402821358856,8.1826,8.804953324185755,9.773565862858305
204,1,204,0.1169,8.1942,0.10914,6.834592216965668,7.6102361771894085,8.1942,8.817386082743631,9.787324972308195
205,1,205,0.1165,8.2058,0.10913,6.844427868951357,7.621069700262079,8.2058,8.829818698261823,9.801083793288361
206,1,206,0.1161,8.2173,0.10911,6.854295686379264,7.6318624352355595,8.2173,8.84208443285062,9.81456474470889
207,1,207,0.1157,8.2287,0.1091,6.863965534209808,7.642510611577677,8.2287,8.85430147258612,9.828083883302298
208,1,208,0.1153,8.2401,0.10908,6.873751260326817,7.653211013796373,8.2401,8.866459071172253,9.841444140336787
209,1,209,0.1149,8.2514,0.10907,6.883338696829317,7.66376671113386,8.2514,8.8785681453394,9.854843049187247
210,1,210,0.1145,8.2627,0.10906,6.892926556903241,7.6743225712471625,8.2627,8.89067708002741,9.86824167623895
211,1,211,0.1142,8.2739,0.10905,6.902420002090185,7.684783612026818,8.2739,8.90267589419174,9.88150511917989
212,1,212,0.1138,8.2851,0.10903,6.912041329328215,7.695299255839082,8.2851,8.914617319356795,9.894624237229092
213,1,213,0.1134,8.2963,0.10902,6.921547166151712,7.705762788614881,8.2963,8.926618153490155,9.90790234817988
214,1,214,0.113,8.3074,0.10901,6.930969991086837,7.716133599997745,8.3074,8.938511252328178,9.921060755025671
215,1,215,0.1126,8.3184,0.109,6.94030979821088,7.726411687776374,8.3184,8.950296617673615,9.934099461234961
216,1,216,0.1122,8.3294,0.10899,6.949650016784037,7.7366899338602035,8.3294,8.962081847096725,9.947137892299192
